,county,sub-county,Age,Male,Female,Total
33019,NAIROBI,WESTLANDS,51,1340,1103,2443
33020,NAIROBI,WESTLANDS,52,1408,1191,2599
33021,NAIROBI,WESTLANDS,53,1195,1038,2233
33022,NAIROBI,WESTLANDS,54,1280,1062,2342
33023,NAIROBI,WESTLANDS,50-54,7056,5987,13043
33024,NAIROBI,WESTLANDS,55,1231,998,2229
33025,NAIROBI,WESTLANDS,56,1209,958,2167
33026,NAIROBI,WESTLANDS,57,1141,939,2080
33027,NAIROBI,WESTLANDS,58,980,808,1788
33028,NAIROBI,WESTLANDS,59,1004,785,1789
33029,NAIROBI,WESTLANDS,55-59,5565,4488,10053
33030,NAIROBI,WESTLANDS,60,913,822,1735
33031,NAIROBI,WESTLANDS,61,722,651,1373
33032,NAIROBI,WESTLANDS,62,751,596,1347
33033,NAIROBI,WESTLANDS,63,670,535,1205
33034,NAIROBI,WESTLANDS,64,514,494,1008
33035,NAIROBI,WESTLANDS,60-64,3570,3098,6668
33036,NAIROBI,WESTLANDS,65,653,580,1233
33037,NAIROBI,WESTLANDS,66,474,445,919
33038,NAIROBI,WESTLANDS,67,568,464,1032
33039,NAIROBI,WESTLANDS,68,402,357,759
33040,NAIROBI,WESTLANDS,69,494,367,861
33041,NAIROBI,WESTLANDS,65-69,2591,2213,4804
33042,NAIROBI,WESTLANDS,70,460,436,896
33043,NAIROBI,WESTLANDS,71,359,293,652
33044,NAIROBI,WESTLANDS,72,344,383,727
33045,NAIROBI,WESTLANDS,73,288,285,573
33046,NAIROBI,WESTLANDS,74,287,249,536
33047,NAIROBI,WESTLANDS,70-74,1738,1646,3384
33048,NAIROBI,WESTLANDS,75,235,265,500
33049,NAIROBI,WESTLANDS,76,208,228,436
33050,NAIROBI,WESTLANDS,77,191,191,382
33051,NAIROBI,WESTLANDS,78,150,138,288
33052,NAIROBI,WESTLANDS,79,130,168,298
33053,NAIROBI,WESTLANDS,75-79,914,990,1904
33054,NAIROBI,WESTLANDS,80,159,194,353
33055,NAIROBI,WESTLANDS,81,102,127,229
33056,NAIROBI,WESTLANDS,82,115,142,257
33057,NAIROBI,WESTLANDS,83,106,121,227
33058,NAIROBI,WESTLANDS,84,89,88,177
33059,NAIROBI,WESTLANDS,80-84,571,672,1243
33060,NAIROBI,WESTLANDS,85,87,110,197
33061,NAIROBI,WESTLANDS,86,60,81,141
33062,NAIROBI,WESTLANDS,87,57,81,138
33063,NAIROBI,WESTLANDS,88,42,49,91
33064,NAIROBI,WESTLANDS,89,39,48,87
33065,NAIROBI,WESTLANDS,85-89,285,369,654
33066,NAIROBI,WESTLANDS,90,25,41,66
33067,NAIROBI,WESTLANDS,91,17,23,40
33068,NAIROBI,WESTLANDS,92,21,22,43
33069,NAIROBI,WESTLANDS,93,13,17,30
33070,NAIROBI,WESTLANDS,94,8,21,29
